ID,Sev,Pri,State,Product,Comp,Summary,Sum
3068,nor,P3,RESO,Platform,Resource,[resources] History Store is leaking (1GF9ZLP),'[resources] History Store is leaking (1GF9ZLP)'
5323,enh,P3,RESO,Platform,Compare,Compare does not handle correctly conflicts at same location,'Compare does not handle correctly conflicts at same location'
6498,enh,P2,VERI,Platform,Ant,[ExternalTools] selecting and building individual targets...,'[ExternalTools] selecting and building individual targets...'
8518,enh,P3,RESO,Platform,Text,[typing] change case functionality,'[typing] change case functionality'
10262,cri,P2,RESO,Platform,Resource,BuildAll with curcular dependencies fails but builds with...,'BuildAll with curcular dependencies fails but builds with...'
11020,enh,P3,RESO,Platform,Text,[templates] Template support beyond Java editor,'[templates] Template support beyond Java editor'
15146,nor,P3,RESO,Platform,SWT,Printing support under Linux/Motif?,'Printing support under Linux/Motif?'
16036,enh,P2,VERI,JDT,Debug,UI not responsive when stack is deep,'UI not responsive when stack is deep'
16072,enh,P3,VERI,JDT,Debug,Disable console horizontal autoscrolling,'Disable console horizontal autoscrolling'
18576,nor,P3,RESO,Platform,Text,javadoc code assist - weird behavior with templates,'javadoc code assist - weird behavior with templates'
19459,enh,P3,VERI,Platform,Ant,[ExternalTools] failure to execute invalid tools should b...,'[ExternalTools] failure to execute invalid tools should b...'
20777,min,P5,RESO,Platform,Text,Preferences>Java>Templates: Preview background color shou...,'Preferences>Java>Templates: Preview background color shou...'
20965,cri,P2,RESO,Platform,Text,Java editor hangs on Tab or Ctrl+/,'Java editor hangs on Tab or Ctrl+/'
21810,enh,P3,RESO,PDE,UI,PDE generated build.properties should add bin.includes = ...,'PDE generated build.properties should add bin.includes = ...'
21842,nor,P3,RESO,JDT,Text,Templates don't convert line delimiters correctly,'Templates don't convert line delimiters correctly'
22374,maj,P2,RESO,Platform,WebDAV,DigestAuthority doesn't quote qop,'DigestAuthority doesn't quote qop'
22621,maj,P2,RESO,Platform,UI,[Dialogs] Order of dialog buttons is wrong on MacOS X,'[Dialogs] Order of dialog buttons is wrong on MacOS X'
23153,nor,P3,RESO,JDT,UI,wording of the welcome.xml page is misleading [doc],'wording of the welcome.xml page is misleading [doc]'
23483,enh,P3,RESO,Platform,Text,Find/Replace should inform when a wrap occurs,'Find/Replace should inform when a wrap occurs'
23534,nor,P3,RESO,Platform,Text,editor preference: incorrect enablement of checkboxes,'editor preference: incorrect enablement of checkboxes'
23883,nor,P2,RESO,Platform,Compare,CompareDialog.commitAction.label string resource name is ...,'CompareDialog.commitAction.label string resource name is ...'
24044,nor,P3,RESO,JDT,Text,Translation of predefined variables in templates (i18n),'Translation of predefined variables in templates (i18n)'
24129,enh,P2,VERI,Platform,Ant,Ability to (optionally) run ANT in a separate JVM,'Ability to (optionally) run ANT in a separate JVM'
24361,nor,P3,RESO,JDT,UI,Java Code Template: filecomment in the wrong place,'Java Code Template: filecomment in the wrong place'
24436,nor,P3,RESO,Platform,SWT,Entering Asterisk crashs Eclipse,'Entering Asterisk crashs Eclipse'
24493,nor,P2,RESO,Platform,SWT,cant type braces in java editor with italian keyboard in ...,'cant type braces in java editor with italian keyboard in ...'
24748,nor,P2,RESO,Platform,Releng,SWT (and possibly JFace) would be better served by being ...,'SWT (and possibly JFace) would be better served by being ...'
24821,enh,P2,VERI,Platform,Debug,[Key Bindings] Provide debug action definitions,'[Key Bindings] Provide debug action definitions'
24954,enh,P3,RESO,JDT,UI,extract constant - should be able to specify destination ...,'extract constant - should be able to specify destination ...'
25014,min,P3,RESO,JDT,UI,JUnit TestCase Wizard accepts empty string as test case n...,'JUnit TestCase Wizard accepts empty string as test case n...'
